source_id,ra,dec,magnitude
3556812191920831744,161.07904740212928,-17.528799784798966,10.339791
3556817792554585856,161.4792064572328,-17.406731079025267,11.831545
3556852603265589504,161.85295777892588,-17.12441385837166,11.971486
3556864659237828864,162.31386647442585,-17.405230606821643,11.784775
3557113565478653952,161.00290215877655,-16.66409566135628,10.875797
3557176100202520064,162.0874042994721,-16.570431751191567,11.485326
3557482039312577664,163.94780162677148,-15.660915639359867,10.435761
3557524988985470976,163.50611004819672,-15.527562652812371,11.276422
3557536843095283200,164.06399669500217,-15.464693600530603,11.13304
3557615458176792832,162.61362186932345,-15.80625570920734,11.685353
3557650092793011200,162.2625898850907,-15.573516284427754,11.96759
3557749942192768256,163.81068592585734,-15.08965838583415,10.821529
3557796362199111680,162.54367948944807,-15.075898162110574,11.592633
3557908340587097088,169.21755430527278,-18.679136150041938,11.497248
3558443390433771136,170.47415639133163,-17.793756037881824,11.077019
3558500461958697216,169.4622525201784,-17.575527271592684,11.336445
3558521730636906624,170.41295190854785,-17.35083306420552,10.800719
3558526850237859456,170.1756431517189,-17.270777455828895,11.749961
3558916249152468608,169.936601199455,-16.2336743945959,8.94197
3559016957546011392,167.91007475514877,-17.60091755970042,11.868815
3559122888619507968,168.2774605669309,-17.256365536448516,8.336117
