t,x,y,p
30079,1072,428,1
30086,501,167,1
30087,381,593,1
30090,362,43,1
30094,844,58,1
30098,153,619,1
30098,1087,256,1
30118,1018,308,1
30126,699,496,1
30128,523,650,1
30136,1177,612,1
30136,1177,612,1
30163,552,239,1
30170,10,34,1
30182,207,479,1
30196,906,459,1
30197,680,631,1
30203,269,494,0
30225,845,465,1
30260,371,495,1
30260,143,461,1
30260,143,461,1
30265,578,604,1
30269,1276,597,1
30270,344,227,1
30278,720,129,1
30288,1039,379,1
30318,1214,48,1
30321,215,612,1
30341,853,274,1
30349,1231,438,1
30387,71,465,1
30391,224,224,1
30401,1207,627,1
30401,1207,627,1
30418,950,24,1
30420,322,381,1
30425,877,161,1
30435,661,145,1
30441,333,562,1
30445,17,447,1
30451,376,419,1
30456,281,47,1
30459,532,0,1
30459,532,0,1
30459,326,139,1
30464,274,533,1
30470,283,631,1
30486,1171,676,1
30505,534,138,1
30514,360,385,1
30516,899,706,1
30516,330,26,1
30521,218,612,1
30522,239,187,1
30522,40,168,1
30524,755,201,1
30545,210,365,1
30554,1104,171,1
30557,833,670,1
30564,1119,709,1
30568,1066,459,1
30576,263,503,1
30677,419,319,1
30683,846,66,1
30693,858,409,1
30713,1044,149,1
30720,94,86,1
30729,855,298,1
30733,143,528,1
30733,1043,166,1
30794,291,545,1
30837,757,292,1
30843,1247,497,1
30846,840,218,1
30857,259,168,1
30871,641,328,1
30871,641,328,1
30878,746,683,1
30950,1143,479,1
30953,237,367,1
30959,193,587,1
30967,1236,258,1
30983,404,1,1
31018,363,558,1
31024,117,31,1
31026,780,34,1
31030,807,634,1
31030,846,158,1
31030,846,158,1
31030,1227,238,1
31032,762,423,1
31038,797,602,1
31044,43,404,1
31046,800,235,1
31082,423,183,1
31086,273,488,1
31087,671,33,1
31092,1017,565,1
31097,918,329,1
31104,628,89,1
31114,1141,384,1
31117,926,368,1
31123,950,690,1
31124,271,496,0
31126,761,605,1
31128,858,388,1
31129,384,70,1
31131,273,202,1
31131,271,495,0
31133,812,679,1
31133,812,679,1
31136,76,586,1
31136,927,700,1
31137,927,700,1
31137,669,531,1
31138,669,531,1
31138,676,15,1
31145,1088,106,1
31146,636,394,1
31148,196,87,1
31149,328,207,1
31153,1076,183,1
31154,952,178,1
31159,483,141,1
31161,402,556,1
31161,171,266,1
31170,991,254,1
31186,955,620,1
31189,923,223,1
31212,837,382,1
31236,757,678,1
31242,172,474,1
31242,172,474,1
31249,41,489,1
31254,1028,440,1
31283,374,80,1
31286,531,153,1
31296,168,330,1
31297,853,627,1
31299,318,53,1
31300,1082,455,1
31304,1122,203,1
31304,1122,203,1
31309,1073,540,1
31315,264,496,1
31351,493,429,1
31366,1107,525,1
31366,1107,525,1
31371,877,456,1
31373,230,427,1
31386,456,414,1
31404,642,8,1
31405,245,645,1
31413,305,593,1
31454,60,268,1
31477,290,566,1
31495,56,663,1
31503,249,696,1
31542,264,581,1
31547,362,676,1
31547,362,676,1
31558,88,381,1
31574,1024,7,1
31585,213,327,1
31601,1105,422,1
31604,938,291,1
31611,1197,93,1
31617,535,690,1
31618,14,263,1
31625,1231,645,1
31630,629,245,1
31639,500,622,1
31643,1226,121,1
31649,1121,314,1
31675,1022,270,1
31702,358,596,1
31704,34,630,1
31704,34,630,1
31707,52,570,1
31709,620,500,1
31712,349,414,1
31712,264,493,1
31719,1264,136,1
31724,965,712,1
31745,104,680,1
31764,37,208,1
31766,716,625,1
31766,716,625,1
31772,1210,293,1
31773,1223,203,1
31775,940,366,1
31775,940,366,1
31778,967,29,1
31783,702,208,1
31786,58,399,1
31793,578,170,1
31793,578,170,1
31796,253,363,1
31799,242,105,1
31799,242,105,1
31802,564,265,1
31803,314,434,1
31805,1032,407,1
31806,99,444,1
31808,485,219,1
31808,1251,512,1
31814,472,276,1
31814,934,592,1
31826,773,392,1
31830,146,338,1
31830,971,634,1
31832,221,11,1
31836,382,26,1
31838,871,267,1
31842,163,539,1
31844,1034,123,1
31845,271,560,1
31846,137,54,1
31846,320,263,1
31849,1270,260,1
31849,178,496,1
31852,116,607,1
31853,60,79,1
31857,668,607,1
31861,431,120,1
31861,907,113,1
31865,1074,110,1
31865,1074,110,1
31871,339,614,1
31872,339,614,1
31888,946,129,1
31907,827,135,1
31910,1128,660,1
31911,1128,660,1
31917,898,17,1
31921,396,82,1
31927,78,42,1
31947,277,708,1
31956,832,47,1
31969,1274,411,0
31969,1278,640,1
31969,1278,640,1
31969,1088,37,1
31971,438,10,1
31974,164,577,1
31974,164,577,1
31986,274,501,1
31999,1085,117,1
32000,330,589,1
32000,339,533,1
32008,990,499,1
32015,758,707,1
32026,863,467,1
32030,500,145,1
32061,65,223,1
32062,444,80,1
32062,268,501,1
32074,455,64,1
32081,449,257,1
32085,999,261,1
32087,97,352,1
32094,310,146,1
32096,1027,131,1
32104,848,70,1
32111,876,392,1
32112,989,165,1
32128,1093,124,1
32129,14,320,1
32130,750,45,1
32135,171,651,1
32135,115,208,1
32140,194,298,1
32142,577,574,1
32146,431,193,1
32146,795,287,1
32147,1231,28,1
32147,300,411,1
32153,364,585,1
32155,1191,179,1
32156,281,544,1
32156,281,544,1
32163,577,147,1
32170,266,502,1
32179,747,599,1
32180,868,193,1
32182,814,270,1
32184,391,695,1
32185,267,504,1
32187,389,39,1
32188,908,527,1
32190,1091,473,1
32201,943,47,1
32209,834,320,1
32213,558,284,1
32224,110,178,1
32233,282,132,1
32234,748,377,1
32241,57,465,1
32243,221,514,1
32245,1020,235,1
32245,1182,690,1
32246,924,284,1
32251,997,456,1
32262,99,489,1
32263,624,94,1
32270,562,346,1
32271,265,503,1
32273,573,329,1
32273,81,519,1
32291,1103,196,1
32300,301,50,1
32316,1232,97,1
32317,397,363,1
32317,1092,582,1
32323,501,702,1
32328,541,570,1
32336,1142,391,1
32340,901,389,1
32343,218,392,1
32345,428,95,1
32381,873,546,1
32383,710,690,1
32389,905,492,1
32390,905,492,1
32390,178,104,1
32406,360,443,1
32410,509,468,1
32410,418,193,1
32415,420,665,1
32416,327,288,1
32417,1110,321,1
32418,484,383,1
32421,243,413,1
32423,10,248,1
32429,437,59,1
32429,164,337,1
32433,309,42,1
32440,227,566,1
32451,813,494,1
32455,107,125,1
32470,1182,659,1
32513,645,251,1
32528,381,379,1
32530,268,503,1
32539,452,64,1
32541,475,488,1
32541,85,8,1
32553,413,261,1
32569,235,52,1
32571,77,495,1
32578,406,477,1
32580,483,464,1
32585,154,370,1
32598,920,691,1
32609,113,262,1
32621,153,162,1
32632,101,45,1
32632,493,188,1
32642,23,585,1
32642,233,663,1
32649,579,37,1
32650,667,538,1
32657,838,446,1
32693,818,659,1
32693,818,659,1
32703,1254,82,1
32714,70,332,1
32721,1201,525,1
32722,1201,525,1
32737,166,213,1
32882,630,47,1
32890,1279,177,1
32894,761,355,1
32913,1223,585,1
32923,515,327,1
32924,1271,176,1
32925,905,440,1
32930,225,499,1
32938,185,315,1
32943,1114,306,1
32943,1114,306,1
32983,447,136,1
32989,181,500,1
32996,568,718,1
32997,1090,469,1
33007,492,25,1
33032,1263,529,1
33052,828,511,1
33072,29,487,1
33081,422,692,1
33095,1033,507,1
33103,1098,429,1
33113,1017,441,1
33120,1210,355,1
33174,314,152,1
33175,438,528,1
33178,94,240,1
33180,56,663,0
33180,832,512,1
33185,1029,69,1
33186,269,501,1
33190,573,546,1
33190,573,546,1
33195,258,290,1
33211,2,588,1
33216,646,685,1
33221,316,503,1
33229,936,247,1
33236,848,664,1
33237,573,548,1
33241,959,382,0
33269,809,265,1
33275,16,158,1
33280,1115,297,1
